hash	short	date	author	subject
6097e03f4acc69680989643e27ddc82db73e9e16	6097e03	2026-03-28	Minervamuses	feat: initial project scaffold — multi-layer RAG KMS
672a2c8c3f17c31332c4bb28fb1de84c08fb135b	672a2c8	2026-03-28	Minervamuses	chore: gitignore agent configs and Zone.Identifier files
38f1a71966ab13cbd96f9aa35597c5dea792370c	38f1a71	2026-03-28	Minervamuses	fix: langchain_core import path and gitignore store/ pattern
67212dcbc7c6d9c483555f6edc431f29364e6190	67212dc	2026-03-28	Minervamuses	refactor: conda+poetry env setup and batch repo ingestion
45395e775845cd31ca7383ff42f4517bd57a298a	45395e7	2026-03-28	Minervamuses	feat: install kms as editable package for global imports
d63e8eba09a2e446a78a47e5de07a0959fab229d	d63e8eb	2026-03-28	Minervamuses	fix: use absolute path for store directory
1536ed2b863c841e87107a3c4c3cab00a84d0d52	1536ed2	2026-03-28	Minervamuses	feat: add interactive query CLI for searching the KMS
0d42b94ba25e1b974c5f415e18929ca953591d70	0d42b94	2026-03-28	Minervamuses	feat: add default LLM model config (llama-3.3-70b-instruct:free)
bf2d0655ee030d6dffc60eddff83d8668765f6f7	bf2d065	2026-03-28	Minervamuses	feat: multi-layer ingestion with LLM folder tagging
3cb6879613b74651cad984edabf69a6e7897a152	3cb6879	2026-03-28	Minervamuses	feat: add multi-turn conversational query CLI
28b867793b3d1c3ee8a825f3e87d971ed7210cdb	28b8677	2026-03-29	Minervamuses	feat: extract richer auto metadata during ingestion
ceeac4322a0cf748efc0200a3e597ee7a7425831	ceeac43	2026-03-29	Minervamuses	feat: add arbitrary metadata filtering to store and retriever
b4100788880d304d28e62d3f3901e6dda58bc841	b410078	2026-03-29	Minervamuses	feat: add tool-calling support to LLM layer
a23f311408acb806965642a4263efdafb7bee95f	a23f311	2026-03-29	Minervamuses	feat: add search tool with schema and metadata filter executor
44ae6a3fd3909761ad47970f55727f4213ab169d	44ae6a3	2026-03-29	Minervamuses	refactor: rewrite chat.py as agent loop with tool calling
a83df85e57d98983fd92db2dc62850fcf946d3bf	a83df85	2026-03-29	Minervamuses	fix: use $contains for tag filtering in SearchTool
94baf9f88c99345375a3d022ea4827e39028aa28	94baf9f	2026-03-29	Minervamuses	fix: store dates as YYYYMMDD integers for ChromaDB range queries
df0e7a4f1bf383944764938ced55d19d9b194b61	df0e7a4	2026-03-31	Minervamuses	feat: add folder summary generation to LLM tagger
150801874d8465225fb565feb574de67388d0dee	1508018	2026-03-31	Minervamuses	feat: multi-collection ingest with folder summaries
082403a6b997d4551ece82d4577c11877b85a257	082403a	2026-03-31	Minervamuses	refactor: rewrite SearchTool for multi-collection search
4cefa72e28aa168955b64500cbf14860b7992c3d	4cefa72	2026-03-31	Minervamuses	fix: tune agent system prompt to prevent over-searching
3d2e20d0a9ee62aef51ba5c09be7cdd1d245851e	3d2e20d	2026-03-31	Minervamuses	refactor: auto-discover collections from repo directory structure
ce97fbd5b36797b53ccbbec27824013c7d016fb9	ce97fbd	2026-03-31	Minervamuses	refactor: replace multi-collection constants with single KNOWLEDGE_COLLECTION
ad56ec29b62934235cfac371f282072f6b3e71cd	ad56ec2	2026-03-31	Minervamuses	feat: add ExploreTool for knowledge base discovery
50d80734926dc1c41ba4a8002b2b643d2515c9ac	50d8073	2026-03-31	Minervamuses	feat: add ContextTool for expanding search results with surrounding chunks
571780ffdc1e784974b34999398e23673670f14e	571780f	2026-03-31	Minervamuses	refactor: rewrite SearchTool for single-collection metadata filtering
117306b1a2cfb121360056388bb3a4a8253ba388	117306b	2026-03-31	Minervamuses	refactor: update tool __init__.py exports with ExploreTool and ContextTool
95714ea8a8617fa389538c2fe1166c18cbbef4ff	95714ea	2026-03-31	Minervamuses	refactor: rewrite ingest for single collection with category/tags metadata
0fe692e1f46ccec729ca00d84610ecf5b179fff0	0fe692e	2026-03-31	Minervamuses	refactor: use KNOWLEDGE_COLLECTION in query CLI
e711e52885f9db776b3bb06db4e36317bfb87eac	e711e52	2026-03-31	Minervamuses	refactor: register 3 tools in chat CLI with _tool_map dispatch
a316c5f93fc254c4334dc45f19669565792e40d7	a316c5f	2026-04-02	Minervamuses	feat: add langgraph and langchain-openai deps
36effd342a370527e57ab6ec46566f2053b95582	36effd3	2026-04-02	Minervamuses	refactor: add get_chat_model() factory for LangGraph
1b0a8e9200077a8766edeb3cc7c8448b34ff82c5	1b0a8e9	2026-04-02	Minervamuses	refactor: convert tools to LangChain @tool factories
8013a1c521b57d0d691218041fa8c2b47c3d1f83	8013a1c	2026-04-02	Minervamuses	feat: add kms/agent/ with LangGraph StateGraph
ca4fd5abb075cac423cfc9355edfbb7ec7755076	ca4fd5a	2026-04-02	Minervamuses	refactor: rewrite cli/chat.py around LangGraph compiled graph
991cf0015bcb6773afbe44eb0ccae9d51d10ab5f	991cf00	2026-04-02	Minervamuses	refactor: remove custom BaseTool ABC
20b9b369d3c965b5734662a081524bdf45d40bf7	20b9b36	2026-04-02	Minervamuses	refactor: remove dead ChatResponse/ToolCall and OpenRouterLLM.chat()
4f9365e202e695935738623cedd29387ad8d6367	4f9365e	2026-04-02	Minervamuses	docs: add info.md explaining langgraph branch changes
b36f65e64ff081821940d2b9f60f2e9c25ddf0ad	b36f65e	2026-04-02	Minervamuses	docs: add pipeline SVG diagrams to info.md
12bb40193a644860b06ea801183aaae1ab0dfa48	12bb401	2026-04-05	Minervamuses	feat: add folder_prefix filter to search tool
1955d1566e1c5e2b03ee29418cff943f54f300c4	1955d15	2026-04-05	Minervamuses	feat: add kms/evaluation/ module with three evaluator types
628c070305aefad0c2e1c7864dec37a6c1decf1b	628c070	2026-04-05	Minervamuses	fix: remove folder_prefix from retrieval evaluator _build_where call
7ddb2501ea1bf084fe190d95a8975b7917a41a6f	7ddb250	2026-04-05	Minervamuses	fix: make behavior evaluator support multi-turn test cases
04148beae365fdce84b4c60664523b71bc0864a9	04148be	2026-04-05	Minervamuses	fix: add _extract_json helper to handle markdown code fences
1be4e81678c5e4ec8c6e3ba24cc6fc0a368a7616	1be4e81	2026-04-05	Minervamuses	feat: add chunk_hit_rate metric to end-to-end evaluator
2b33844653ed78b032ed42c1def5946130d9a877	2b33844	2026-04-05	Minervamuses	feat: add kms/cli/eval.py for one-command evaluation runs
23479b4573376d58736b9e755fba5b023bf30093	23479b4	2026-04-05	Minervamuses	fix: use result messages instead of get_state, add filter_accuracy
341126f0d7c0c17725c6e8e22cd92139c9870c96	341126f	2026-04-05	Minervamuses	fix: use result messages instead of get_state in e2e evaluator
82b791f847ff67e50d75f03e9e05028f44a4ee31	82b791f	2026-04-05	Minervamuses	fix: avoid KeyError on multi-turn cases without 'question' key
62b665ac7d4de7ec0b652fda82f4c1f6daf1dbb7	62b665a	2026-04-05	Minervamuses	fix: increase recursion limit to 32 and catch GraphRecursionError
012621abc0fe9a1f90568582d8f81a306702c9a7	012621a	2026-04-05	Minervamuses	refactor: reposition RetrievalEvaluator as embedding quality unit test
b29ef969b5d611bea871ed4825d2bbe5c6de4369	b29ef96	2026-04-05	Minervamuses	feat: add gen_llm_model and judge_llm_model to KMSConfig
6a37d25b6c747076d71caa6d59798860a043d189	6a37d25	2026-04-05	Minervamuses	refactor: split e2e evaluator into separate gen and judge LLMs
f32c10ffd43d9dc95bde186b7415c61b3acd9dd8	f32c10f	2026-04-05	Minervamuses	refactor: remove RetrievalEvaluator
2678ddfbd0e0f2e73cb91a968175c2bbca15cf90	2678ddf	2026-04-05	Minervamuses	refactor: remove retrieval suite from eval CLI
